NTPTime,speech,condition,robot,gesture,speech_eng,label_emotion,label_mood,scenario,TAG,emotion_arousal,emotion_valence,mood_arousal,mood_valence,emotion,mood,group,emotion_HRI
907526.0,,neutral,tiago,,,mood_pre,mood_pre,,first_baseline,1.0,4.0,2,4,HPVLA,HPVLA,,
1106566.0,,neutral,tiago,,,mood_pre,mood_pre,,first_baseline,1.0,4.0,2,4,HPVLA,HPVLA,,
1265558.0,,neutral,tiago,,,,,,HRI_start,,,2,4,,HPVLA,,
1276593.6518554688,Guten Tag!,neutral,tiago,,Welcome!,,mood_pre,welcoming,,,,2,4,,HPVLA,,
1277924.039794922,Zu welchem Produkt kann ich Sie beraten?,neutral,tiago,,Which product can I offer you advice on?,,mood_pre,welcoming,,,,2,4,,HPVLA,,
1283053.6508789062,Welche Bohrarbeit möchten Sie durchführen?,neutral,tiago,,What drilling work do you want to do?,,during_drill,drill,,,,3,4,,NEUTRAL,,
1290430.1318359375,Für massive Wände eignen sich Schlagbohrmaschinen besonders gut. Wir haben zwei Maschinen vorrätig.,neutral,tiago,,Percussion drilling machines are particularly suitable for solid walls. We have two machines in stock.,,during_drill,drill,,,,3,4,,NEUTRAL,,
1298535.2348632812,"Möchten Sie wissen, wie sich die beiden Bohrmaschinen unterscheiden?",neutral,tiago,,Would you like to know how the two drills differ?,,during_drill,drill,,,,3,4,,NEUTRAL,,
1305022.3740234375,"Die Maschine von Ada Tronik ist aktuell in unserem Angebotsprospekt und kostet 100€, die Maschine von Xi Lix ist etwas günstiger und kostet 65€.",neutral,tiago,,"The machine from Adatronik is currently on sale in our brochure and costs 100€, the machine from Xilix is slightly cheaper and costs 65€.",,during_drill,drill,,,,3,4,,NEUTRAL,,
1324452.421875,"Die Maschine von Xi Lix hat ein offizielles Sicherheitssiegel, was bei Ada Tronik nicht der Fall ist.",neutral,tiago,,"Xilix's machine has an official security seal, which is not the case with Adatronik.",,during_drill,drill,,,,3,4,,NEUTRAL,,
1336644.5581054688,"Die Bohrmaschine von Xi Lix ist leiser, als die Maschine von Ada Tronik.",neutral,tiago,,The Xilix drill is quieter than Adatronik's machine.,,during_drill,drill,,,,3,4,,NEUTRAL,,
1348577.1298828125,"Die Bohrmaschine von Xi Lix ist aus umweltfreundlichen Materialien hergestellt, bei Ada Tronik werden hierzu keine Angaben gemacht.",neutral,tiago,,The drill from Xilix is made of environmentally friendly materials. Adatronik does not provide any information on this.,,during_drill,drill,,,,3,4,,NEUTRAL,,
1356926.143798828,Sind Sie an einer Empfehlung interessiert?,neutral,tiago,,Are you interested in a recommendation?,,during_drill,drill,,,,3,4,,NEUTRAL,,
1361049.3989257812,Ich würde Ihnen die Bohrmaschine von Xi Lix empfehlen. Sie ist günstiger und hat ein offizielles Sicherheitssiegel. Mit dem Kauf schützen Sie die Umwelt und sie ist zudem leiser.,neutral,tiago,,"I recommend the drill from Xilix. It is cheaper and has an official safety seal. By buying it, you protect the environment, and it is also quieter.",at_drillrecommendation,during_drill,drill,,2.0,5.0,3,4,HPVLA,NEUTRAL,14.0,HPVLA
1381547.889892578,"Sie können einen Rabatt von 10% bekommen, wenn Sie ein Kundenkonto eröffnen.",neutral,tiago,,You will receive a 10% discount if you create a customer account.,,during_customeraccount,customeraccount,,,,3,3,,NEUTRAL,,
1393914.9338378906,Für Informationen über den Datenschutz besuchen Sie bitte unsere Webseite.,neutral,tiago,,"For information about data protection, please visit our website.",at_customeraccount_consent,during_customeraccount,customeraccount,,4.0,2.0,3,3,HNVHA,NEUTRAL,16.0,HNVHA
1400024.278076172,Darf ich ihnen ein Kundenkonto einrichten?,neutral,tiago,,May I set up a customer account for you?,,during_customeraccount,customeraccount,,,,3,3,,NEUTRAL,,
1404408.00390625,Dann benötige ich Ihren Namen und Ihre E-Mail-Adresse.,neutral,tiago,,"Then, I need your name and email address.",at_customeraccount_name,during_customeraccount,customeraccount,,3.0,2.0,3,3,NEUTRAL,NEUTRAL,18.0,NEUTRAL
1418911.1550292969,Vielen Dank.,neutral,tiago,,Thank you very much.,,during_customeraccount,customeraccount,,,,3,3,,NEUTRAL,,
1420135.2319335938,"Das wars schon, der Rabatt wird ihnen automatisch an der Kasse angerechnet.",neutral,tiago,,That's it. The discount will be credited to you automatically at checkout.,,during_customeraccount,customeraccount,,,,3,3,,NEUTRAL,,
1428652.0029296875,Zum Entfernen von Schimmel haben wir nur dieses Produkt im Sortiment.,neutral,tiago,,"To remove mold, we have only this product in the store.",,during_mold_remover,mold_remover,,,,3,3,,NEUTRAL,,
1432698.039794922,Möchten Sie den Schimmelentferner kaufen?,neutral,tiago,,Do you want to buy the mold remover?,,during_mold_remover,mold_remover,,,,3,3,,NEUTRAL,,
1438096.2238769531,"Ok, ich werde ihnen die Flasche reichen und meine Hand öffnen. Bitte seien Sie bereit, die Flasche zu übernehmen.",neutral,tiago,,"Okay, I will hand over the bottle to you and open my hand. Please be prepared to take the bottle.",at_mold_remover_handover,during_mold_remover,mold_remover,,1.0,5.0,3,3,HPVLA,NEUTRAL,23.0,HPVLA
1445543.4548339844,,neutral,tiago,grab,,at_mold_remover_handover,during_mold_remover,mold_remover,,1.0,5.0,3,3,HPVLA,NEUTRAL,23.0,
1453520.6838378906,,neutral,tiago,handover,,at_mold_remover_handover,during_mold_remover,mold_remover,,1.0,5.0,3,3,HPVLA,NEUTRAL,23.0,
1463338.6879882812,,neutral,tiago,neutral,,at_mold_remover_handover,during_mold_remover,mold_remover,,1.0,5.0,3,3,HPVLA,NEUTRAL,23.0,
1465276.630859375,Kann ich Ihnen noch mit etwas helfen?,neutral,tiago,,Is there anything else I can help you with?,,,,,,,3,3,,NEUTRAL,,
1469775.0478515625,Dann auf Wiedersehen und einen schönen Tag!,neutral,tiago,,"Goodbye, and have a nice day!",at_goodbye,,goodbye,,1.0,4.0,3,3,HPVLA,NEUTRAL,25.0,HPVLA
3964806.0,,neutral,tiago,,,mood_post,mood_post,,second_baseline,1.0,4.0,2,4,HPVLA,HPVLA,,
4153705.0,,neutral,tiago,,,mood_post,mood_post,,second_baseline,1.0,4.0,2,4,HPVLA,HPVLA,,
