condition,speech,speech_eng,label_emotion,label_mood,gesture,robot,scenario
immoral,Wollen Sie Ihre Daten noch schnell für ein Kundenkonto hinterlassen?,Do you want to leave your data quickly for a customer account?,,during_customeraccount,,tiago,customeraccount
immoral,Wollen Sie Ihre Daten noch schnell für ein Kundenkonto hinterlassen?,Do you want to leave your data quickly for a customer account?,,during_customeraccount,,elenoide,customeraccount
moral,Wir speichern ihre Daten sicher und nur für den internen Gebrauch. Sie brauchen also keine Bedenken bezüglich Ihrer Daten zu haben.,We store your data securely and only for internal use. So you do not need to worry about your data.,at_customeraccount_consent,during_customeraccount,,tiago,customeraccount
moral,Wir speichern ihre Daten sicher und nur für den internen Gebrauch. Sie brauchen also keine Bedenken bezüglich Ihrer Daten zu haben.,We store your data securely and only for internal use. So you do not need to worry about your data.,at_customeraccount_consent,during_customeraccount,,elenoide,customeraccount
immoral,Wir speichern Ihre Daten für den internen Gebrauch. Wahrscheinlich verkaufen wir sie aber auch an ein Marktforschungsinstitut.,"We store your data for internal use. However, we will probably also sell them to a market research institute.",at_customeraccount_consent,during_customeraccount,,tiago,customeraccount
immoral,Wir speichern Ihre Daten für den internen Gebrauch. Wahrscheinlich verkaufen wir sie aber auch an ein Marktforschungsinstitut.,"We store your data for internal use. However, we will probably also sell them to a market research institute.",at_customeraccount_consent,during_customeraccount,,elenoide,customeraccount
transparency,"Wenn Sie keine Bedenken haben, können wir anfangen. Dazu benötige ich Ihren Namen und die E-Mail-Adresse.","If you have no concerns, we can get started. For this, I need your name and email address.",at_customeraccount_name,during_customeraccount,deictic_you,tiago,customeraccount
transparency,"Wenn Sie keine Bedenken haben, können wir anfangen. Dazu benötige ich Ihren Namen und die E-Mail-Adresse.","If you have no concerns, we can get started. For this, I need your name and email address.",at_customeraccount_name,during_customeraccount,neutral,tiago,customeraccount
transparency,"Wenn Sie keine Bedenken haben, können wir anfangen. Dazu benötige ich Ihren Namen und die E-Mail-Adresse.","If you have no concerns, we can get started. For this, I need your name and email address.",at_customeraccount_name,during_customeraccount,,tiago,customeraccount
neutral,Was ist Ihr Name?,What is your name?,at_customeraccount_name,during_customeraccount,,tiago,customeraccount
liability,Was ist Ihr Name?,What is your name?,at_customeraccount_name,during_customeraccount,,tiago,customeraccount
transparency,Was ist Ihr Name?,What is your name?,at_customeraccount_name,during_customeraccount,metaphor_open,tiago,customeraccount
transparency,Was ist Ihr Name?,What is your name?,at_customeraccount_name,during_customeraccount,neutral,tiago,customeraccount
moral,Was ist Ihr Name?,What is your name?,at_customeraccount_name,during_customeraccount,,tiago,customeraccount
moral,Was ist Ihr Name?,What is your name?,at_customeraccount_name,during_customeraccount,,elenoide,customeraccount
transparency,Was ist Ihr Name?,What is your name?,at_customeraccount_name,during_customeraccount,,tiago,customeraccount
neutral,Vielen Dank.,Thank you very much.,,during_customeraccount,,tiago,customeraccount
liability,Vielen Dank.,Thank you very much.,,during_customeraccount,,tiago,customeraccount
transparency,Vielen Dank.,Thank you very much.,,during_customeraccount,metaphor_open,tiago,customeraccount
moral,Vielen Dank.,Thank you very much.,,during_customeraccount,,tiago,customeraccount
